                0.02            0.700248            0.014931                   1                   1                   0
                0.02            0.700248            0.014931                   1                   1                   0
                0.02            0.700248            0.014931                   1                   1                   0
                0.02             4.30456           0.0716497            0.625799             1.71923                0.25
                0.02            0.408032            0.011906            0.908446             1.01022                 0.4
                0.02             14.4775           0.0529398            0.608475            0.128298                 0.5
                0.02             14.4775           0.0529398            0.608475            0.128298            0.428571
                0.02             23.3862            0.272681           0.0763562            -2.53872                 0.5
                0.02             17.3468           0.0287458             2.14784           -0.186915            0.555556
                0.02             17.3468           0.0287458             2.14784           -0.186915                 0.5
                0.02             17.3468           0.0287458             2.14784           -0.186915            0.454545
                0.02             17.3468           0.0287458             2.14784           -0.186915            0.416667
                0.02             17.3468           0.0287458             2.14784           -0.186915            0.384615
                0.02             89.5904            0.664407             2.33069             2.31122            0.428571
                0.02             89.5904            0.664407             2.33069             2.31122                 0.4
                0.02             34.6923             0.37218            0.187283             2.77838              0.4375
                0.02             30.4204           0.0769341             -2.4664             0.68818            0.470588
                0.02             32.7128            0.323482            -1.46408             2.26678                 0.5
                0.02             33.4728            0.330916           -0.170313             2.73569            0.526316
                0.02             72.4012              0.6666            -1.29804             2.97572                0.55
                0.02              61.553            0.577222            -1.51263             2.75294            0.571429
                0.02             29.2448             0.31062           -0.152478             2.67986            0.590909
                0.02             20.0663             0.22929              1.2528             2.08654            0.608696
                0.02             1.65683           0.0115891            0.613363             0.29944               0.625
                0.02             3.18674           0.0489868           0.0760582            -1.73434                0.64
                0.02               17.67           0.0957498             1.90754            -1.16588            0.653846
                0.02              21.053            0.098283             2.02113              1.1412            0.666667
                0.02             24.9396           0.0881821             2.26852           -0.869158            0.678571
                0.02             5.57494           0.0120889              1.7476            0.276462            0.689655
                0.02           -0.148197           0.0081026            0.392322              -1.084                 0.7
                0.02            0.131616          0.00287505            0.201545            0.644347            0.709677
                0.02             9.83843           0.0434085             1.05489           -0.148579             0.71875
                0.02             47.1082            0.501322            -1.43941             2.56632            0.727273
