         0.5     76.5234     78.9926    0.234515
         0.6     43.8086     44.0383    0.166781
         0.7     24.3637     24.8027   0.0855475
         0.8     15.0224     15.2084   0.0461173
         0.9     10.5345     10.3075   0.0238513
           1     7.38127     7.37308   0.0178806
         1.1     5.48872     5.60113   0.0115089
         1.2     4.39124     4.41256  0.00690872
         1.3     3.68196     3.58809  0.00615077
         1.4     2.98023     2.98567  0.00451609
         1.5     2.54492      2.5293  0.00323973
         1.6     2.19318     2.18402  0.00276617
         1.7     1.87962     1.90722   0.0020501
         1.8     1.68966     1.68702  0.00167678
         1.9     1.50549     1.50566  0.00147882
           2     1.33495     1.35918  0.00125647
