         0.5      81.834     79.2959    0.297435
         0.6     47.1768     44.5266    0.241452
         0.7     26.8839     24.8413     0.12161
         0.8     15.9764     15.2505   0.0595006
         0.9     10.0496     10.2418   0.0356079
           1     7.44446     7.40232   0.0198666
         1.1     5.44178     5.60364   0.0142195
         1.2     4.24878     4.41104   0.0104654
         1.3     3.50392     3.58685  0.00674014
         1.4     2.89873     2.97813  0.00506819
         1.5     2.45795     2.52536  0.00435278
         1.6     2.16583     2.18101  0.00341336
         1.7     1.91543      1.9061  0.00289091
         1.8      1.6926     1.68751  0.00246288
         1.9     1.52137     1.50873  0.00221751
           2     1.36988     1.35932  0.00201251
