           1    -5.47221    -5.47221           0
           2    -5.45103    -5.46162  0.00748928
           3    -5.44614    -5.45646    0.006533
           4     -5.4577    -5.45677  0.00490711
           5    -5.43394     -5.4522  0.00566514
           6    -5.43722    -5.44971  0.00524243
           7    -5.47804    -5.45375  0.00585122
           8    -5.49042    -5.45834  0.00667797
           9    -5.45218    -5.45765  0.00597087
          10    -5.48127    -5.46002  0.00582231
          11    -5.46791    -5.46073  0.00533712
          12    -5.44573    -5.45948  0.00503659
          13     -5.4537    -5.45904  0.00466873
          14     -5.4489    -5.45831  0.00439103
          15    -5.45634    -5.45818  0.00410026
          16    -5.47569    -5.45928  0.00398737
          17    -5.46447    -5.45958  0.00376451
          18    -5.44413    -5.45872  0.00365193
          19    -5.45225    -5.45838  0.00347559
          20    -5.47533    -5.45923  0.00340347
          21    -5.48337    -5.46038  0.00342997
          22    -5.45568    -5.46017  0.00328069
          23    -5.49054    -5.46149  0.00339348
          24    -5.44164    -5.46066  0.00335129
          25    -5.45476    -5.46042  0.00322555
          26     -5.4804    -5.46119  0.00319169
          27    -5.46651    -5.46139  0.00307955
          28    -5.43859    -5.46058  0.00307538
          29    -5.44959     -5.4602  0.00299258
          30    -5.45852    -5.46014  0.00289335
          31     -5.4829    -5.46087  0.00289168
          32    -5.47161    -5.46121  0.00282069
          33    -5.47487    -5.46162  0.00276541
          34    -5.47107     -5.4619  0.00269801
          35    -5.47005    -5.46213  0.00263095
          36    -5.46954    -5.46234  0.00256589
          37    -5.45626    -5.46218   0.0025018
          38    -5.45556      -5.462  0.00244202
          39    -5.46557    -5.46209  0.00238112
          40    -5.48335    -5.46262  0.00238013
          41    -5.46206    -5.46261  0.00232212
          42    -5.46824    -5.46275   0.0022707
          43    -5.45437    -5.46255  0.00222623
          44    -5.45216    -5.46231  0.00218811
          45     -5.4799    -5.46271   0.0021741
          46    -5.45997    -5.46265  0.00212765
          47    -5.45285    -5.46244  0.00209256
          48    -5.47616    -5.46272  0.00206841
          49    -5.46173     -5.4627  0.00202629
          50    -5.46599    -5.46277  0.00198683
          51    -5.43429    -5.46221  0.00202482
          52    -5.45133      -5.462  0.00199665
          53    -5.47853    -5.46231  0.00198319
          54    -5.47395    -5.46253  0.00195814
          55    -5.48734    -5.46298   0.0019738
          56    -5.45962    -5.46292  0.00193946
          57    -5.47666    -5.46316  0.00192037
          58     -5.4614    -5.46313   0.0018875
          59    -5.47485    -5.46333  0.00186594
          60    -5.47054    -5.46345  0.00183871
          61     -5.4812    -5.46374  0.00183145
          62    -5.45515     -5.4636  0.00180715
          63    -5.47612     -5.4638  0.00178936
          64    -5.48418    -5.46412  0.00178951
          65     -5.4699    -5.46421  0.00176419
          66    -5.45246    -5.46403  0.00174642
          67    -5.47668    -5.46422  0.00173052
          68    -5.46498    -5.46423  0.00170511
          69    -5.44121     -5.4639  0.00171273
          70    -5.47457    -5.46405  0.00169503
          71    -5.44651     -5.4638  0.00168907
          72    -5.48146    -5.46405  0.00168333
          73    -5.46998    -5.46413  0.00166223
          74     -5.4466    -5.46389  0.00165656
          75    -5.46228    -5.46387  0.00163462
          76    -5.45763    -5.46379  0.00161517
          77    -5.47681    -5.46396  0.00160303
          78    -5.44899    -5.46376  0.00159391
          79    -5.45866     -5.4637  0.00157505
          80    -5.47669    -5.46386   0.0015637
          81    -5.45754    -5.46378  0.00154635
          82    -5.44339    -5.46354  0.00154737
          83    -5.42616    -5.46309  0.00159291
          84     -5.4759    -5.46324  0.00158124
          85     -5.4371    -5.46293  0.00159225
          86    -5.47315    -5.46305  0.00157816
          87    -5.47437    -5.46318  0.00156537
          88    -5.48972    -5.46348  0.00157636
          89    -5.47373     -5.4636  0.00156285
          90    -5.45679    -5.46352  0.00154731
          91    -5.44018    -5.46326  0.00155143
          92    -5.46154    -5.46325  0.00153468
          93    -5.45514    -5.46316  0.00152065
          94    -5.45915    -5.46312  0.00150507
          95    -5.46509    -5.46314  0.00148937
          96    -5.46093    -5.46311  0.00147404
          97     -5.4617     -5.4631  0.00145891
          98    -5.48462    -5.46332  0.00146046
          99    -5.44864    -5.46317  0.00145322
         100    -5.46908    -5.46323  0.00143989
